action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,34,green,forward,2.0,None,None,None,27
None,33,red,forward,0.0,None,None,None,27
None,32,red,forward,0.0,None,None,None,27
None,31,red,forward,0.0,None,None,None,27
forward,30,green,forward,12.0,None,None,None,27
forward,35,green,forward,2.0,None,None,None,28
None,34,red,forward,0.0,None,None,None,28
None,33,red,forward,0.0,None,None,None,28
forward,32,green,forward,2.0,None,None,None,28
None,31,red,forward,0.0,None,None,None,28
forward,30,green,forward,2.0,None,None,None,28
right,29,red,right,2.0,None,None,None,28
None,28,red,forward,0.0,None,None,None,28
None,27,red,forward,0.0,None,None,None,28
forward,26,green,forward,2.0,None,None,None,28
None,25,red,forward,0.0,None,None,None,28
None,24,red,forward,0.0,None,None,None,28
forward,23,green,forward,2.0,None,None,None,28
None,22,red,forward,0.0,None,None,None,28
None,21,red,forward,0.0,None,None,None,28
None,20,red,forward,0.0,None,None,None,28
forward,19,green,forward,12.0,None,None,None,28
right,25,green,right,2.0,None,None,None,29
right,24,red,right,2.0,None,None,None,29
None,23,red,forward,0.0,None,None,None,29
None,22,red,forward,0.0,None,None,None,29
None,21,red,forward,0.0,None,None,None,29
forward,20,green,forward,2.0,None,None,None,29
right,19,red,right,2.0,None,None,None,29
forward,18,red,forward,-1.0,None,left,None,29
None,17,red,forward,0.0,None,left,None,29
None,16,red,forward,0.0,None,left,None,29
forward,15,green,forward,2.0,None,left,None,29
None,14,red,forward,0.0,None,None,None,29
None,13,red,forward,0.0,None,None,None,29
None,12,red,forward,0.0,None,None,None,29
None,11,red,forward,0.0,None,None,None,29
forward,10,green,forward,2.0,None,None,None,29
forward,9,green,forward,12.0,None,None,None,29
None,50,red,left,0.0,None,None,None,30
None,49,red,left,0.0,None,None,None,30
None,48,red,left,0.0,None,None,None,30
None,47,red,left,0.0,None,None,None,30
None,46,red,left,0.0,None,None,None,30
left,45,green,left,2.0,None,None,None,30
forward,44,green,forward,2.0,None,None,None,30
forward,43,green,forward,2.0,None,None,None,30
None,42,red,forward,0.0,None,None,None,30
